;WTT;TTW;WTW
gCO2/MJ;14,8;71,5;89,7
Kg/MJ;0,023121387;0,023121387;0,023121387
Metric Tonne/MJ;2,31214E-05;2,31214E-05;2,31214E-05
Litres/MJ;0,028901734;0,028901734;0,028901734
Lbs/MJ;0,050973933;0,050973933;0,050973933
US Gallon/MJ;0,00763503;0,00763503;0,00763503
Imperial Gallon/MJ;0,006357493;0,006357493;0,006357493
gCO2/Kg;640,1;3160;3800,1
gCO2/Metric Tonne;640100;3160000;3800100
gCO2/Litre;512,08;2528;3040,08
gCO2/Lb;290,344476;1433,351889;1723,696365
gCO2/US Gallon;1938,433666;9569,52099;11507,95466
gCO2/Imperial Gallon;2327,961767;11492,51552;13820,47729
